"Monthly age-standardised mortality rates by vaccination status by age group for all cause deaths, deaths involving COVID-19 and deaths not involving COVID-19, per 100,000 person-years, England, deaths occurring between 1 January 2021 and 31 May 2022"										
This worksheet contains 1 table.										
"Source: Source: Office for National Statistics, National Immunisation Management Service."										
Cause of Death	Year	Month	Age group	Vaccination status	Count of deaths	Person-years	"Age-standardised mortality rate / 100,000 person-years"	Noted as Unreliable	Lower confidence limit	Upper confidence limit
All causes	2022	February	70-79	"Third dose or booster, at least 21 days ago"	6553	312284	2089.2		2038.6	2139.8
All causes	2022	February	80-89	Unvaccinated	365	3580	10085.8		9050.2	11121.3
All causes	2022	February	80-89	"First dose, less than 21 days ago"	<3	12	x		x	x
All causes	2022	February	80-89	"First dose, at least 21 days ago"	114	528	21319.2		17380.8	25257.5
All causes	2022	February	80-89	"Second dose, less than 21 days ago"	4	29	14164.1	u	3811.9	36367.6
All causes	2022	February	80-89	"Second dose, at least 21 days ago"	1115	4578	23880.3		22470.8	25289.7
All causes	2022	February	80-89	"Third dose or booster, less than 21 days ago"	70	380	18298.0		14213.8	23178.8
All causes	2022	February	80-89	"Third dose or booster, at least 21 days ago"	10565	148662	7058.0		6923.4	7192.6
All causes	2022	February	90+	Unvaccinated	254	1031	24636.7		21699.6	27860.3
All causes	2022	February	90+	"First dose, less than 21 days ago"	4	4	97595.1	u	26256.0	249865.0
All causes	2022	February	90+	"First dose, at least 21 days ago"	68	175	38890.5		30198.5	49303.9
All causes	2022	February	90+	"Second dose, less than 21 days ago"	5	10	50998.3	u	16434.8	119012.7
All causes	2022	February	90+	"Second dose, at least 21 days ago"	661	1369	48296.1		44683.9	52122.6
All causes	2022	February	90+	"Third dose or booster, less than 21 days ago"	47	141	33243.1		24423.5	44207.5
All causes	2022	February	90+	"Third dose or booster, at least 21 days ago"	7129	32412	21995.1		21487.4	22511.7
All causes	2022	March	18-39	Unvaccinated	51	183001	29.1		21.6	38.3
All causes	2022	March	18-39	"First dose, less than 21 days ago"	<3	1471	x		x	x
All causes	2022	March	18-39	"First dose, at least 21 days ago"	19	42486	52.9	u	31.1	83.7
All causes	2022	March	18-39	"Second dose, less than 21 days ago"	<3	3983	x		x	x
All causes	2022	March	18-39	"Second dose, at least 21 days ago"	57	249654	25.7		19.4	33.4
All causes	2022	March	18-39	"Third dose or booster, less than 21 days ago"	<3	10340	x		x	x
All causes	2022	March	18-39	"Third dose or booster, at least 21 days ago"	125	454768	26.6		21.9	31.3
All causes	2022	March	40-49	Unvaccinated	62	56331	117.0		89.5	150.2
All causes	2022	March	40-49	"First dose, less than 21 days ago"	<3	165	x		x	x
All causes	2022	March	40-49	"First dose, at least 21 days ago"	25	8700	308.2		198.6	456.1
All causes	2022	March	40-49	"Second dose, less than 21 days ago"	<3	582	x		x	x
All causes	2022	March	40-49	"Second dose, at least 21 days ago"	109	72935	154.7		125.5	183.9
All causes	2022	March	40-49	"Third dose or booster, less than 21 days ago"	3	2655	116.1	u	23.8	339.8
All causes	2022	March	40-49	"Third dose or booster, at least 21 days ago"	296	321369	90.4		80.1	100.7
All causes	2022	March	50-59	Unvaccinated	136	37284	366.9		305.1	428.6
All causes	2022	March	50-59	"First dose, less than 21 days ago"	<3	79	x		x	x
All causes	2022	March	50-59	"First dose, at least 21 days ago"	50	5645	897.8		665.6	1184.7
All causes	2022	March	50-59	"Second dose, less than 21 days ago"	<3	315	x		x	x
All causes	2022	March	50-59	"Second dose, at least 21 days ago"	304	50435	613.5		544.3	682.7
All causes	2022	March	50-59	"Third dose or booster, less than 21 days ago"	<3	1725	x		x	x
All causes	2022	March	50-59	"Third dose or booster, at least 21 days ago"	1140	448449	250.0		235.4	264.5
All causes	2022	March	60-69	Unvaccinated	228	21284	1118.8		972.3	1265.3
All causes	2022	March	60-69	"First dose, less than 21 days ago"	<3	34	x		x	x
All causes	2022	March	60-69	"First dose, at least 21 days ago"	63	2692	2475.6		1891.8	3180.0
All causes	2022	March	60-69	"Second dose, less than 21 days ago"	<3	126	x		x	x
All causes	2022	March	60-69	"Second dose, at least 21 days ago"	496	23116	2321.0		2112.2	2529.9
All causes	2022	March	60-69	"Third dose or booster, less than 21 days ago"	9	751	1318.7	u	584.0	2534.6
All causes	2022	March	60-69	"Third dose or booster, at least 21 days ago"	2942	405343	729.7		703.3	756.0
All causes	2022	March	70-79	Unvaccinated	333	10133	3421.8		3051.2	3792.4
All causes	2022	March	70-79	"First dose, less than 21 days ago"	<3	13	x		x	x
All causes	2022	March	70-79	"First dose, at least 21 days ago"	73	1208	6138.2		4808.6	7721.0
All causes	2022	March	70-79	"Second dose, less than 21 days ago"	<3	48	x		x	x
All causes	2022	March	70-79	"Second dose, at least 21 days ago"	777	9581	8294.3		7709.3	8879.2
All causes	2022	March	70-79	"Third dose or booster, less than 21 days ago"	31	391	7993.4		5426.5	11352.0
All causes	2022	March	70-79	"Third dose or booster, at least 21 days ago"	7511	347203	2149.7		2101.1	2198.3
All causes	2022	March	80-89	Unvaccinated	383	3945	9605.4		8642.6	10568.2
All causes	2022	March	80-89	"First dose, less than 21 days ago"	3	8	36034.5	u	7341.4	105525.2
All causes	2022	March	80-89	"First dose, at least 21 days ago"	112	564	19632.1		15975.7	23288.5
All causes	2022	March	80-89	"Second dose, less than 21 days ago"	<3	23	x		x	x
All causes	2022	March	80-89	"Second dose, at least 21 days ago"	982	4756	20353.6		19074.3	21633.0
All causes	2022	March	80-89	"Third dose or booster, less than 21 days ago"	27	201	12883.6		8451.6	18796.8
All causes	2022	March	80-89	"Third dose or booster, at least 21 days ago"	11657	165320	7001.9		6874.7	7129.0
All causes	2022	March	90+	Unvaccinated	235	1135	20704.8		18141.9	23528.3
All causes	2022	March	90+	"First dose, less than 21 days ago"	<3	2	x		x	x
All causes	2022	March	90+	"First dose, at least 21 days ago"	65	187	34829.6		26879.3	44394.1
All causes	2022	March	90+	"Second dose, less than 21 days ago"	<3	7	x		x	x
All causes	2022	March	90+	"Second dose, at least 21 days ago"	581	1402	41454.3		38151.5	44966.5
All causes	2022	March	90+	"Third dose or booster, less than 21 days ago"	22	67	32808.7		20553.7	49675.3
All causes	2022	March	90+	"Third dose or booster, at least 21 days ago"	7845	36163	21693.2		21215.7	22178.6
All causes	2022	April	18-39	Unvaccinated	34	175810	20.3		14.0	28.5
All causes	2022	April	18-39	"First dose, less than 21 days ago"	<3	933	x		x	x
All causes	2022	April	18-39	"First dose, at least 21 days ago"	11	39111	30.7	u	14.5	56.3
All causes	2022	April	18-39	"Second dose, less than 21 days ago"	<3	2835	x		x	x
All causes	2022	April	18-39	"Second dose, at least 21 days ago"	55	236715	24.8		18.6	32.4
All causes	2022	April	18-39	"Third dose or booster, less than 21 days ago"	<3	7414	x		x	x
All causes	2022	April	18-39	"Third dose or booster, at least 21 days ago"	118	451823	25.4		20.8	30.0
All causes	2022	April	40-49	Unvaccinated	51	54593	99.4		73.8	131.0
All causes	2022	April	40-49	"First dose, less than 21 days ago"	<3	99	x		x	x
All causes	2022	April	40-49	"First dose, at least 21 days ago"	25	8087	317.3		204.2	469.9
All causes	2022	April	40-49	"Second dose, less than 21 days ago"	<3	359	x		x	x
All causes	2022	April	40-49	"Second dose, at least 21 days ago"	97	68890	143.5		116.3	175.2
All causes	2022	April	40-49	"Third dose or booster, less than 21 days ago"	3	1746	178.5	u	36.3	523.0
All causes	2022	April	40-49	"Third dose or booster, at least 21 days ago"	276	313419	86.6		76.4	96.8
All causes	2022	April	50-59	Unvaccinated	139	36115	389.8		324.9	454.7
All causes	2022	April	50-59	"First dose, less than 21 days ago"	<3	50	x		x	x
All causes	2022	April	50-59	"First dose, at least 21 days ago"	38	5271	728.0		514.5	1000.2
All causes	2022	April	50-59	"Second dose, less than 21 days ago"	<3	196	x		x	x
All causes	2022	April	50-59	"Second dose, at least 21 days ago"	271	47657	580.5		511.2	649.8
All causes	2022	April	50-59	"Third dose or booster, less than 21 days ago"	3	1168	281.3	u	58.0	822.0
All causes	2022	April	50-59	"Third dose or booster, at least 21 days ago"	1144	435493	258.0		243.0	273.0
All causes	2022	April	60-69	Unvaccinated	213	20677	1087.5		940.2	1234.8
All causes	2022	April	60-69	"First dose, less than 21 days ago"	<3	21	x		x	x
All causes	2022	April	60-69	"First dose, at least 21 days ago"	63	2535	2656.8		2031.0	3412.0
All causes	2022	April	60-69	"Second dose, less than 21 days ago"	<3	79	x		x	x
All causes	2022	April	60-69	"Second dose, at least 21 days ago"	418	21964	2044.5		1844.0	2244.9
All causes	2022	April	60-69	"Third dose or booster, less than 21 days ago"	8	494	1823.9	u	765.2	3631.8
All causes	2022	April	60-69	"Third dose or booster, at least 21 days ago"	2879	393938	735.1		708.3	762.0
All causes	2022	April	70-79	Unvaccinated	285	9845	2996.5		2645.9	3347.1
All causes	2022	April	70-79	"First dose, less than 21 days ago"	<3	11	x		x	x
All causes	2022	April	70-79	"First dose, at least 21 days ago"	92	1140	8167.1		6580.4	10020.2
All causes	2022	April	70-79	"Second dose, less than 21 days ago"	3	31	9683.8	u	1997.0	28300.2
All causes	2022	April	70-79	"Second dose, at least 21 days ago"	645	8844	7505.5		6923.9	8087.0
All causes	2022	April	70-79	"Third dose or booster, less than 21 days ago"	10	331	2950.5	u	1384.4	5475.2
All causes	2022	April	70-79	"Third dose or booster, at least 21 days ago"	7496	336955	2207.6		2157.6	2257.6
All causes	2022	April	80-89	Unvaccinated	369	3803	9619.7		8637.3	10602.0
All causes	2022	April	80-89	"First dose, less than 21 days ago"	5	7	77019.4	u	23599.8	182519.4
All causes	2022	April	80-89	"First dose, at least 21 days ago"	85	528	15731.6		12549.0	19472.1
All causes	2022	April	80-89	"Second dose, less than 21 days ago"	4	15	23781.8	u	6346.5	61176.9
All causes	2022	April	80-89	"Second dose, at least 21 days ago"	747	4227	17321.7		16074.0	18569.3
All causes	2022	April	80-89	"Third dose or booster, less than 21 days ago"	39	262	14403.5		10202.0	19741.2
All causes	2022	April	80-89	"Third dose or booster, at least 21 days ago"	11910	160660	7362.0		7229.8	7494.3
All causes	2022	April	90+	Unvaccinated	247	1094	22567.5		19840.5	25564.6
All causes	2022	April	90+	"First dose, less than 21 days ago"	3	2	121749.9	u	24469.8	355732.4
All causes	2022	April	90+	"First dose, at least 21 days ago"	71	172	41387.1		32322.2	52205.2
All causes	2022	April	90+	"Second dose, less than 21 days ago"	4	6	62302.7	u	16761.3	159508.7
All causes	2022	April	90+	"Second dose, at least 21 days ago"	485	1227	39523.0		36083.2	43202.2
All causes	2022	April	90+	"Third dose or booster, less than 21 days ago"	23	93	24824.2		15731.2	37250.3
All causes	2022	April	90+	"Third dose or booster, at least 21 days ago"	7841	35211	22268.6		21778.4	22767.1
All causes	2022	May	18-39	Unvaccinated	26	180720	15.3		10.0	22.5
All causes	2022	May	18-39	"First dose, less than 21 days ago"	<3	760	x		x	x
All causes	2022	May	18-39	"First dose, at least 21 days ago"	12	38827	42.6	u	20.9	76.0
All causes	2022	May	18-39	"Second dose, less than 21 days ago"	<3	2289	x		x	x
All causes	2022	May	18-39	"Second dose, at least 21 days ago"	39	238300	18.1		12.8	24.9
All causes	2022	May	18-39	"Third dose or booster, less than 21 days ago"	<3	7718	x		x	x
All causes	2022	May	18-39	"Third dose or booster, at least 21 days ago"	106	476178	21.4		17.4	25.5
All causes	2022	May	40-49	Unvaccinated	34	56504	64.1		44.2	89.8
All causes	2022	May	40-49	"First dose, less than 21 days ago"	<3	83	x		x	x
All causes	2022	May	40-49	"First dose, at least 21 days ago"	12	8161	171.5	u	88.6	299.7
All causes	2022	May	40-49	"Second dose, less than 21 days ago"	<3	245	x		x	x
All causes	2022	May	40-49	"Second dose, at least 21 days ago"	72	69537	106.4		83.1	134.1
All causes	2022	May	40-49	"Third dose or booster, less than 21 days ago"	<3	1583	x		x	x
All causes	2022	May	40-49	"Third dose or booster, at least 21 days ago"	275	325485	83.7		73.8	93.6
All causes	2022	May	50-59	Unvaccinated	108	37361	290.6		235.7	345.4
All causes	2022	May	50-59	"First dose, less than 21 days ago"	<3	41	x		x	x
All causes	2022	May	50-59	"First dose, at least 21 days ago"	42	5355	800.4		576.2	1082.7
All causes	2022	May	50-59	"Second dose, less than 21 days ago"	<3	120	x		x	x
All causes	2022	May	50-59	"Second dose, at least 21 days ago"	195	48202	420.7		361.5	479.9
All causes	2022	May	50-59	"Third dose or booster, less than 21 days ago"	3	1000	332.0	u	68.5	970.1
All causes	2022	May	50-59	"Third dose or booster, at least 21 days ago"	1082	450969	235.1		221.1	249.2
All causes	2022	May	60-69	Unvaccinated	175	21452	865.3		736.0	994.5
All causes	2022	May	60-69	"First dose, less than 21 days ago"	<3	17	x		x	x
All causes	2022	May	60-69	"First dose, at least 21 days ago"	52	2585	2215.4		1646.0	2915.8
All causes	2022	May	60-69	"Second dose, less than 21 days ago"	<3	51	x		x	x
All causes	2022	May	60-69	"Second dose, at least 21 days ago"	327	22352	1572.3		1398.0	1746.7
All causes	2022	May	60-69	"Third dose or booster, less than 21 days ago"	7	404	1801.3	u	688.6	3774.5
All causes	2022	May	60-69	"Third dose or booster, at least 21 days ago"	2625	408279	646.8		622.0	671.5
All causes	2022	May	70-79	Unvaccinated	236	10216	2385.0		2078.4	2691.6
All causes	2022	May	70-79	"First dose, less than 21 days ago"	<3	11	x		x	x
All causes	2022	May	70-79	"First dose, at least 21 days ago"	49	1163	4302.1		3180.4	5690.6
All causes	2022	May	70-79	"Second dose, less than 21 days ago"	<3	23	x		x	x
All causes	2022	May	70-79	"Second dose, at least 21 days ago"	445	8790	5186.2		4701.6	5670.9
All causes	2022	May	70-79	"Third dose or booster, less than 21 days ago"	25	273	9417.2		5929.0	14124.9
All causes	2022	May	70-79	"Third dose or booster, at least 21 days ago"	6380	349100	1810.8		1766.3	1855.2
All causes	2022	May	80-89	Unvaccinated	258	3918	6491.7		5699.0	7284.5
All causes	2022	May	80-89	"First dose, less than 21 days ago"	<3	8	x		x	x
All causes	2022	May	80-89	"First dose, at least 21 days ago"	88	528	16296.7		13054.9	20096.2
All causes	2022	May	80-89	"Second dose, less than 21 days ago"	5	17	29723.4	u	9336.0	69987.2
All causes	2022	May	80-89	"Second dose, at least 21 days ago"	534	3965	13197.2		12074.5	14320.0
All causes	2022	May	80-89	"Third dose or booster, less than 21 days ago"	39	269	14002.3		9855.8	19270.3
All causes	2022	May	80-89	"Third dose or booster, at least 21 days ago"	10249	166832	6097.8		5979.7	6215.9
All causes	2022	May	90+	Unvaccinated	174	1126	15448.5		13238.2	17922.3
All causes	2022	May	90+	"First dose, less than 21 days ago"	<3	4	x		x	x
All causes	2022	May	90+	"First dose, at least 21 days ago"	40	168	23815.7		17012.2	32431.3
All causes	2022	May	90+	"Second dose, less than 21 days ago"	<3	8	x		x	x
All causes	2022	May	90+	"Second dose, at least 21 days ago"	303	1095	27682.8		24653.0	30982.0
All causes	2022	May	90+	"Third dose or booster, less than 21 days ago"	21	122	17272.2		10687.6	26403.8
All causes	2022	May	90+	"Third dose or booster, at least 21 days ago"	6420	36690	17498.2		17072.7	17931.6
Deaths involving COVID-19	2021	January	18-39	Unvaccinated	175	919697	19.7		16.8	22.6
Deaths involving COVID-19	2021	January	18-39	"First dose, less than 21 days ago"	5	26534	16.9	u	5.5	39.4
Deaths involving COVID-19	2021	January	18-39	"First dose, at least 21 days ago"	<3	4653	x		x	x
Deaths involving COVID-19	2021	January	18-39	"Second dose, less than 21 days ago"	<3	1298	x		x	x
Deaths involving COVID-19	2021	January	18-39	"Second dose, at least 21 days ago"	<3	245	x		x	x
Deaths involving COVID-19	2021	January	18-39	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	January	18-39	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	January	40-49	Unvaccinated	366	447217	80.8		72.5	89.1
Deaths involving COVID-19	2021	January	40-49	"First dose, less than 21 days ago"	4	19145	19.3	u	5.2	49.3
Deaths involving COVID-19	2021	January	40-49	"First dose, at least 21 days ago"	<3	3808	x		x	x
Deaths involving COVID-19	2021	January	40-49	"Second dose, less than 21 days ago"	<3	1241	x		x	x
Deaths involving COVID-19	2021	January	40-49	"Second dose, at least 21 days ago"	<3	230	x		x	x
Deaths involving COVID-19	2021	January	40-49	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	January	40-49	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	January	50-59	Unvaccinated	1225	513202	236.5		223.2	249.7
Deaths involving COVID-19	2021	January	50-59	"First dose, less than 21 days ago"	22	25011	85.7		53.7	129.8
Deaths involving COVID-19	2021	January	50-59	"First dose, at least 21 days ago"	4	4933	79.5	u	21.6	203.5
Deaths involving COVID-19	2021	January	50-59	"Second dose, less than 21 days ago"	<3	1657	x		x	x
Deaths involving COVID-19	2021	January	50-59	"Second dose, at least 21 days ago"	<3	309	x		x	x
Deaths involving COVID-19	2021	January	50-59	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	January	50-59	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	January	60-69	Unvaccinated	2765	424476	654.4		630.0	678.8
Deaths involving COVID-19	2021	January	60-69	"First dose, less than 21 days ago"	62	15399	447.7		341.5	575.9
Deaths involving COVID-19	2021	January	60-69	"First dose, at least 21 days ago"	10	2548	538.3	u	245.5	1010.4
Deaths involving COVID-19	2021	January	60-69	"Second dose, less than 21 days ago"	<3	877	x		x	x
Deaths involving COVID-19	2021	January	60-69	"Second dose, at least 21 days ago"	<3	157	x		x	x
Deaths involving COVID-19	2021	January	60-69	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	January	60-69	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	January	70-79	Unvaccinated	5901	303782	2064.7		2011.5	2118.0
Deaths involving COVID-19	2021	January	70-79	"First dose, less than 21 days ago"	307	54364	531.1		464.0	598.2
Deaths involving COVID-19	2021	January	70-79	"First dose, at least 21 days ago"	70	2143	3042.4		2252.6	3986.3
Deaths involving COVID-19	2021	January	70-79	"Second dose, less than 21 days ago"	<3	626	x		x	x
Deaths involving COVID-19	2021	January	70-79	"Second dose, at least 21 days ago"	<3	77	x		x	x
Deaths involving COVID-19	2021	January	70-79	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	January	70-79	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	January	80-89	Unvaccinated	8679	73510	11718.8		11472.1	11965.4
Deaths involving COVID-19	2021	January	80-89	"First dose, less than 21 days ago"	1129	67433	1673.7		1576.0	1771.3
Deaths involving COVID-19	2021	January	80-89	"First dose, at least 21 days ago"	576	14946	3822.9		3510.6	4135.2
Deaths involving COVID-19	2021	January	80-89	"Second dose, less than 21 days ago"	49	15116	326.9		241.8	432.2
Deaths involving COVID-19	2021	January	80-89	"Second dose, at least 21 days ago"	6	2596	230.9	u	84.7	502.7
Deaths involving COVID-19	2021	January	80-89	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	January	80-89	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	January	90+	Unvaccinated	5253	18496	28401.3		27638.4	29179.9
Deaths involving COVID-19	2021	January	90+	"First dose, less than 21 days ago"	862	13696	6293.6		5880.4	6728.2
Deaths involving COVID-19	2021	January	90+	"First dose, at least 21 days ago"	364	2868	12691.5		11421.0	14064.8
Deaths involving COVID-19	2021	January	90+	"Second dose, less than 21 days ago"	16	2480	645.1	u	368.5	1047.7
Deaths involving COVID-19	2021	January	90+	"Second dose, at least 21 days ago"	5	435	1149.9	u	370.6	2683.5
Deaths involving COVID-19	2021	January	90+	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	January	90+	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	February	18-39	Unvaccinated	82	775097	11.1		8.8	13.7
Deaths involving COVID-19	2021	February	18-39	"First dose, less than 21 days ago"	6	39731	13.6	u	5.0	29.7
Deaths involving COVID-19	2021	February	18-39	"First dose, at least 21 days ago"	4	42421	9.1	u	2.4	23.5
Deaths involving COVID-19	2021	February	18-39	"Second dose, less than 21 days ago"	<3	702	x		x	x
Deaths involving COVID-19	2021	February	18-39	"Second dose, at least 21 days ago"	<3	1797	x		x	x
Deaths involving COVID-19	2021	February	18-39	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	February	18-39	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	February	40-49	Unvaccinated	172	361737	47.2		40.2	54.3
Deaths involving COVID-19	2021	February	40-49	"First dose, less than 21 days ago"	7	30706	21.9	u	8.7	45.3
Deaths involving COVID-19	2021	February	40-49	"First dose, at least 21 days ago"	5	30465	15.1	u	4.9	35.2
Deaths involving COVID-19	2021	February	40-49	"Second dose, less than 21 days ago"	<3	621	x		x	x
Deaths involving COVID-19	2021	February	40-49	"Second dose, at least 21 days ago"	<3	1725	x		x	x
Deaths involving COVID-19	2021	February	40-49	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	February	40-49	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	February	50-59	Unvaccinated	600	395903	150.6		138.6	162.7
Deaths involving COVID-19	2021	February	50-59	"First dose, less than 21 days ago"	25	52699	46.8		30.1	69.3
Deaths involving COVID-19	2021	February	50-59	"First dose, at least 21 days ago"	30	40611	73.1		49.3	104.4
Deaths involving COVID-19	2021	February	50-59	"Second dose, less than 21 days ago"	<3	841	x		x	x
Deaths involving COVID-19	2021	February	50-59	"Second dose, at least 21 days ago"	<3	2304	x		x	x
Deaths involving COVID-19	2021	February	50-59	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	February	50-59	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	February	60-69	Unvaccinated	1387	250153	611.4		578.3	644.4
Deaths involving COVID-19	2021	February	60-69	"First dose, less than 21 days ago"	92	119825	76.4		60.1	95.5
Deaths involving COVID-19	2021	February	60-69	"First dose, at least 21 days ago"	83	29345	290.2		231.0	360.0
Deaths involving COVID-19	2021	February	60-69	"Second dose, less than 21 days ago"	<3	468	x		x	x
Deaths involving COVID-19	2021	February	60-69	"Second dose, at least 21 days ago"	<3	1235	x		x	x
Deaths involving COVID-19	2021	February	60-69	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	February	60-69	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	February	70-79	Unvaccinated	2026	41372	6462.3		6154.8	6769.7
Deaths involving COVID-19	2021	February	70-79	"First dose, less than 21 days ago"	357	172973	229.7		205.5	254.0
Deaths involving COVID-19	2021	February	70-79	"First dose, at least 21 days ago"	498	110881	398.5		361.8	435.2
Deaths involving COVID-19	2021	February	70-79	"Second dose, less than 21 days ago"	<3	216	x		x	x
Deaths involving COVID-19	2021	February	70-79	"Second dose, at least 21 days ago"	<3	845	x		x	x
Deaths involving COVID-19	2021	February	70-79	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	February	70-79	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	February	80-89	Unvaccinated	2171	9621	22153.4		21217.5	23089.3
Deaths involving COVID-19	2021	February	80-89	"First dose, less than 21 days ago"	571	27502	2066.2		1896.7	2235.7
Deaths involving COVID-19	2021	February	80-89	"First dose, at least 21 days ago"	1598	98774	1614.9		1535.7	1694.0
Deaths involving COVID-19	2021	February	80-89	"Second dose, less than 21 days ago"	3	397	744.7	u	153.4	2176.8
Deaths involving COVID-19	2021	February	80-89	"Second dose, at least 21 days ago"	44	20111	219.0		159.1	294.0
Deaths involving COVID-19	2021	February	80-89	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	February	80-89	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	February	90+	Unvaccinated	1220	3228	37792.7		35701.5	39974.5
Deaths involving COVID-19	2021	February	90+	"First dose, less than 21 days ago"	394	6965	5656.9		5112.1	6244.1
Deaths involving COVID-19	2021	February	90+	"First dose, at least 21 days ago"	1151	20376	5648.8		5327.2	5984.9
Deaths involving COVID-19	2021	February	90+	"Second dose, less than 21 days ago"	<3	83	x		x	x
Deaths involving COVID-19	2021	February	90+	"Second dose, at least 21 days ago"	21	3382	620.9		384.2	949.2
Deaths involving COVID-19	2021	February	90+	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	February	90+	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	March	18-39	Unvaccinated	20	771450	2.8		1.7	4.3
Deaths involving COVID-19	2021	March	18-39	"First dose, less than 21 days ago"	<3	64007	x		x	x
Deaths involving COVID-19	2021	March	18-39	"First dose, at least 21 days ago"	4	101620	3.5	u	0.9	8.9
Deaths involving COVID-19	2021	March	18-39	"Second dose, less than 21 days ago"	<3	10273	x		x	x
Deaths involving COVID-19	2021	March	18-39	"Second dose, at least 21 days ago"	<3	3922	x		x	x
Deaths involving COVID-19	2021	March	18-39	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	March	18-39	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	March	40-49	Unvaccinated	50	322036	15.6		11.6	20.6
Deaths involving COVID-19	2021	March	40-49	"First dose, less than 21 days ago"	<3	58486	x		x	x
Deaths involving COVID-19	2021	March	40-49	"First dose, at least 21 days ago"	5	77991	5.8	u	1.9	13.5
Deaths involving COVID-19	2021	March	40-49	"Second dose, less than 21 days ago"	<3	7947	x		x	x
Deaths involving COVID-19	2021	March	40-49	"Second dose, at least 21 days ago"	<3	3546	x		x	x
Deaths involving COVID-19	2021	March	40-49	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	March	40-49	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	March	50-59	Unvaccinated	187	230773	82.0		70.2	93.8
Deaths involving COVID-19	2021	March	50-59	"First dose, less than 21 days ago"	13	170710	7.3	u	3.9	12.6
Deaths involving COVID-19	2021	March	50-59	"First dose, at least 21 days ago"	43	128489	33.0		23.8	44.5
Deaths involving COVID-19	2021	March	50-59	"Second dose, less than 21 days ago"	<3	10466	x		x	x
Deaths involving COVID-19	2021	March	50-59	"Second dose, at least 21 days ago"	<3	4757	x		x	x
Deaths involving COVID-19	2021	March	50-59	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	March	50-59	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	March	60-69	Unvaccinated	316	65474	641.9		563.8	720.0
Deaths involving COVID-19	2021	March	60-69	"First dose, less than 21 days ago"	29	135647	25.5		16.6	37.1
Deaths involving COVID-19	2021	March	60-69	"First dose, at least 21 days ago"	122	234304	52.1		42.5	61.8
Deaths involving COVID-19	2021	March	60-69	"Second dose, less than 21 days ago"	<3	6454	x		x	x
Deaths involving COVID-19	2021	March	60-69	"Second dose, at least 21 days ago"	<3	2647	x		x	x
Deaths involving COVID-19	2021	March	60-69	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	March	60-69	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
