"Monthly age-standardised mortality rates by vaccination status by sex for all cause deaths, deaths involving COVID-19 and deaths not involving COVID-19, per 100,000 person-years, England, deaths occurring between 1 January 2021 and 31 May 2022"										
This worksheet contains 1 table.										
"Source: Source: Office for National Statistics, National Immunisation Management Service."										
Sex	Cause of Death	Year	Month	Vaccination status	Count of deaths	Person-years	"Age-standardised mortality rate / 100,000 person-years"	Noted as Unreliable	Lower confidence limit	Upper confidence limit
Female	Deaths involving COVID-19	2022	March	"Third dose or booster, at least 21 days ago"	1059	1173039	52.7		49.5	55.9
Female	Deaths involving COVID-19	2022	March	Ever vaccinated	1227	1504551	58.4		55.1	61.7
Female	Deaths involving COVID-19	2022	April	Unvaccinated	107	204224	178.2		143.7	212.7
Female	Deaths involving COVID-19	2022	April	"First dose, less than 21 days ago"	0	1594	x		x	x
Female	Deaths involving COVID-19	2022	April	"First dose, at least 21 days ago"	22	55066	239.1		146.1	367.2
Female	Deaths involving COVID-19	2022	April	"Second dose, less than 21 days ago"	0	5926	x		x	x
Female	Deaths involving COVID-19	2022	April	"Second dose, between 21 days and 6 months ago"	4	82535	x		x	x
Female	Deaths involving COVID-19	2022	April	"Second dose, at least 6 months ago"	139	157096	229.5		189.8	269.2
Female	Deaths involving COVID-19	2022	April	"Third dose or booster, less than 21 days ago"	3	7432	x		x	x
Female	Deaths involving COVID-19	2022	April	"Third dose or booster, at least 21 days ago"	1425	1147317	72.5		68.6	76.3
Female	Deaths involving COVID-19	2022	April	Ever vaccinated	1593	1456966	77.7		73.9	81.5
Female	Deaths involving COVID-19	2022	May	Unvaccinated	40	209179	63.3		44.8	86.8
Female	Deaths involving COVID-19	2022	May	"First dose, less than 21 days ago"	0	1142	x		x	x
Female	Deaths involving COVID-19	2022	May	"First dose, at least 21 days ago"	10	52703	110.1	u	51.4	204.7
Female	Deaths involving COVID-19	2022	May	"Second dose, less than 21 days ago"	0	4240	x		x	x
Female	Deaths involving COVID-19	2022	May	"Second dose, between 21 days and 6 months ago"	4	79753	x		x	x
Female	Deaths involving COVID-19	2022	May	"Second dose, at least 6 months ago"	53	165998	91.7		68.2	120.7
Female	Deaths involving COVID-19	2022	May	"Third dose or booster, less than 21 days ago"	0	6886	x		x	x
Female	Deaths involving COVID-19	2022	May	"Third dose or booster, at least 21 days ago"	550	1195170	27.0		24.7	29.3
Female	Deaths involving COVID-19	2022	May	Ever vaccinated	617	1505891	29.3		26.9	31.6
Female	Non-COVID-19 deaths	2021	January	Unvaccinated	14222	1555765	1160.7		1141.2	1180.2
Female	Non-COVID-19 deaths	2021	January	"First dose, less than 21 days ago"	2964	140849	499.3		471.2	527.4
Female	Non-COVID-19 deaths	2021	January	"First dose, at least 21 days ago"	683	23287	728.6		605.9	851.2
Female	Non-COVID-19 deaths	2021	January	"Second dose, less than 21 days ago"	160	13547	184.5		112.1	256.9
Female	Non-COVID-19 deaths	2021	January	"Second dose, between 21 days and 6 months ago"	34	2351	127.1		87.6	178.2
Female	Non-COVID-19 deaths	2021	January	"Second dose, at least 6 months ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	January	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	January	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	January	Ever vaccinated	3841	180035	480.1		455	505.2
Female	Non-COVID-19 deaths	2021	February	Unvaccinated	6066	1060900	2755.5		2673.6	2837.3
Female	Non-COVID-19 deaths	2021	February	"First dose, less than 21 days ago"	3004	252576	679.0		650.2	707.9
Female	Non-COVID-19 deaths	2021	February	"First dose, at least 21 days ago"	5902	233342	666.5		641.7	691.4
Female	Non-COVID-19 deaths	2021	February	"Second dose, less than 21 days ago"	21	2269	640.1		344.7	1049.9
Female	Non-COVID-19 deaths	2021	February	"Second dose, between 21 days and 6 months ago"	370	18298	321.5		189.9	453.2
Female	Non-COVID-19 deaths	2021	February	"Second dose, at least 6 months ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	February	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	February	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	February	Ever vaccinated	9297	506485	611.5		595.7	627.4
Female	Non-COVID-19 deaths	2021	March	Unvaccinated	3135	848503	2478.3		2378.4	2578.2
Female	Non-COVID-19 deaths	2021	March	"First dose, less than 21 days ago"	791	228449	1724.5		1320.8	2128.2
Female	Non-COVID-19 deaths	2021	March	"First dose, at least 21 days ago"	11190	585571	803.1		785.9	820.3
Female	Non-COVID-19 deaths	2021	March	"Second dose, less than 21 days ago"	726	45583	443.8		394.0	493.5
Female	Non-COVID-19 deaths	2021	March	"Second dose, between 21 days and 6 months ago"	591	27268	413.6		318.7	508.5
Female	Non-COVID-19 deaths	2021	March	"Second dose, at least 6 months ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	March	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	March	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	March	Ever vaccinated	13298	886871	764.1		642.4	885.8
Female	Non-COVID-19 deaths	2021	April	Unvaccinated	1776	641652	1963.0		1863.2	2062.9
Female	Non-COVID-19 deaths	2021	April	"First dose, less than 21 days ago"	194	94768	1850.5		1522.7	2178.2
Female	Non-COVID-19 deaths	2021	April	"First dose, at least 21 days ago"	7939	599836	1449.7		1415.1	1484.3
Female	Non-COVID-19 deaths	2021	April	"Second dose, less than 21 days ago"	2846	217916	420.6		401.1	440.2
Female	Non-COVID-19 deaths	2021	April	"Second dose, between 21 days and 6 months ago"	3028	125114	619.5		583.7	655.4
Female	Non-COVID-19 deaths	2021	April	"Second dose, at least 6 months ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	April	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	April	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	April	Ever vaccinated	14007	1037635	744.9		731.7	758
Female	Non-COVID-19 deaths	2021	May	Unvaccinated	1338	569645	1558.9		1467.9	1650.0
Female	Non-COVID-19 deaths	2021	May	"First dose, less than 21 days ago"	60	70040	1614.9		1159.8	2166.5
Female	Non-COVID-19 deaths	2021	May	"First dose, at least 21 days ago"	3800	370188	4338.3		4176.5	4500.1
Female	Non-COVID-19 deaths	2021	May	"Second dose, less than 21 days ago"	1445	251194	643.8		606.2	681.3
Female	Non-COVID-19 deaths	2021	May	"Second dose, between 21 days and 6 months ago"	9644	472810	654.4		636.8	672.1
Female	Non-COVID-19 deaths	2021	May	"Second dose, at least 6 months ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	May	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	May	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	May	Ever vaccinated	14949	1164232	752.1		739.7	764.6
Female	Non-COVID-19 deaths	2021	June	Unvaccinated	1054	435920	1352.7		1265.1	1440.3
Female	Non-COVID-19 deaths	2021	June	"First dose, less than 21 days ago"	39	79890	1300.8		768.6	1977.0
Female	Non-COVID-19 deaths	2021	June	"First dose, at least 21 days ago"	1732	182110	5551.1		5254.4	5847.7
Female	Non-COVID-19 deaths	2021	June	"Second dose, less than 21 days ago"	400	175974	1271.1		1112.3	1430.0
Female	Non-COVID-19 deaths	2021	June	"Second dose, between 21 days and 6 months ago"	12275	802721	684.6		671.5	697.7
Female	Non-COVID-19 deaths	2021	June	"Second dose, at least 6 months ago"	0	16	x		x	x
Female	Non-COVID-19 deaths	2021	June	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	June	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	June	Ever vaccinated	14446	1240711	771.7		712.8	830.7
Female	Non-COVID-19 deaths	2021	July	Unvaccinated	994	363785	1282.6		1197.6	1367.7
Female	Non-COVID-19 deaths	2021	July	"First dose, less than 21 days ago"	12	49885	573.8	u	209.1	1137.5
Female	Non-COVID-19 deaths	2021	July	"First dose, at least 21 days ago"	1084	175997	5199.7		4859.1	5540.2
Female	Non-COVID-19 deaths	2021	July	"Second dose, less than 21 days ago"	139	81686	1696.9		1358.2	2035.5
Female	Non-COVID-19 deaths	2021	July	"Second dose, between 21 days and 6 months ago"	14547	1044720	786.4		773.0	799.9
Female	Non-COVID-19 deaths	2021	July	"Second dose, at least 6 months ago"	486	15045	373.5		263.0	484.0
Female	Non-COVID-19 deaths	2021	July	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	July	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	July	Ever vaccinated	16268	1367333	806.3		793.8	818.9
Female	Non-COVID-19 deaths	2021	August	Unvaccinated	928	335973	1263.2		1177.2	1349.2
Female	Non-COVID-19 deaths	2021	August	"First dose, less than 21 days ago"	17	17847	1679.5	u	831.9	2899.9
Female	Non-COVID-19 deaths	2021	August	"First dose, at least 21 days ago"	679	123237	3945.7		3622.8	4268.6
Female	Non-COVID-19 deaths	2021	August	"Second dose, less than 21 days ago"	46	75779	1170.2		779.5	1657.1
Female	Non-COVID-19 deaths	2021	August	"Second dose, between 21 days and 6 months ago"	14342	1153981	813.7		737.6	889.9
Female	Non-COVID-19 deaths	2021	August	"Second dose, at least 6 months ago"	689	22789	582.6		451.5	713.7
Female	Non-COVID-19 deaths	2021	August	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	August	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	August	Ever vaccinated	15773	1393633	791.1		761.2	821
Female	Non-COVID-19 deaths	2021	September	Unvaccinated	847	300176	1203.1		1117.5	1288.7
Female	Non-COVID-19 deaths	2021	September	"First dose, less than 21 days ago"	3	15541	x		x	x
Female	Non-COVID-19 deaths	2021	September	"First dose, at least 21 days ago"	565	69964	3837.4		3496.5	4178.3
Female	Non-COVID-19 deaths	2021	September	"Second dose, less than 21 days ago"	15	45409	585.6	u	246.8	1085.2
Female	Non-COVID-19 deaths	2021	September	"Second dose, between 21 days and 6 months ago"	12909	1164738	811.1		797.0	825.2
Female	Non-COVID-19 deaths	2021	September	"Second dose, at least 6 months ago"	2352	70439	828.4		753.5	903.3
Female	Non-COVID-19 deaths	2021	September	"Third dose or booster, less than 21 days ago"	37	6079	174.5		104.7	263.7
Female	Non-COVID-19 deaths	2021	September	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	Non-COVID-19 deaths	2021	September	Ever vaccinated	15881	1372169	806.5		793.8	819.1
Female	Non-COVID-19 deaths	2021	October	Unvaccinated	867	286489	1174.3		1091.6	1257.0
Female	Non-COVID-19 deaths	2021	October	"First dose, less than 21 days ago"	11	17728	1638.0	u	741.5	3050.9
Female	Non-COVID-19 deaths	2021	October	"First dose, at least 21 days ago"	497	67772	3579.6		3241.3	3918.0
Female	Non-COVID-19 deaths	2021	October	"Second dose, less than 21 days ago"	27	15121	2109.1		1340.0	3135.3
Female	Non-COVID-19 deaths	2021	October	"Second dose, between 21 days and 6 months ago"	5913	966768	965.8		938.3	993.3
Female	Non-COVID-19 deaths	2021	October	"Second dose, at least 6 months ago"	8511	200581	1358.8		1320.9	1396.8
Female	Non-COVID-19 deaths	2021	October	"Third dose or booster, less than 21 days ago"	1905	139937	343.6		322.2	364.9
Female	Non-COVID-19 deaths	2021	October	"Third dose or booster, at least 21 days ago"	543	32137	387.1		338.5	435.6
Female	Non-COVID-19 deaths	2021	October	Ever vaccinated	17407	1440043	850.7		837.9	863.5
Female	Non-COVID-19 deaths	2021	November	Unvaccinated	805	249484	1192.0		1105.8	1278.2
Female	Non-COVID-19 deaths	2021	November	"First dose, less than 21 days ago"	14	18432	2468.3	u	1247.7	4293.5
Female	Non-COVID-19 deaths	2021	November	"First dose, at least 21 days ago"	392	76959	3164.1		2827.6	3500.6
Female	Non-COVID-19 deaths	2021	November	"Second dose, less than 21 days ago"	16	9924	1177.6	u	619.5	1990.4
Female	Non-COVID-19 deaths	2021	November	"Second dose, between 21 days and 6 months ago"	1394	599559	1583.0		1461.6	1704.3
Female	Non-COVID-19 deaths	2021	November	"Second dose, at least 6 months ago"	8141	247176	2163.0		2114.3	2211.6
Female	Non-COVID-19 deaths	2021	November	"Third dose or booster, less than 21 days ago"	2274	216497	502.5		479.2	525.9
Female	Non-COVID-19 deaths	2021	November	"Third dose or booster, at least 21 days ago"	5452	251183	603.1		581.5	624.8
Female	Non-COVID-19 deaths	2021	November	Ever vaccinated	17683	1419730	891.2		877.9	904.5
Female	Non-COVID-19 deaths	2021	December	Unvaccinated	892	240463	1273.0		1185.3	1360.8
Female	Non-COVID-19 deaths	2021	December	"First dose, less than 21 days ago"	10	10899	1817.2	u	800.4	3456.3
Female	Non-COVID-19 deaths	2021	December	"First dose, at least 21 days ago"	355	84775	3110.6		2765.5	3455.7
Female	Non-COVID-19 deaths	2021	December	"Second dose, less than 21 days ago"	17	14841	1126.3	u	609.1	1871.1
Female	Non-COVID-19 deaths	2021	December	"Second dose, between 21 days and 6 months ago"	450	296734	1818.9		1612.9	2024.9
Female	Non-COVID-19 deaths	2021	December	"Second dose, at least 6 months ago"	5520	188096	3752.7		3648.1	3857.2
Female	Non-COVID-19 deaths	2021	December	"Third dose or booster, less than 21 days ago"	1590	294251	1004.2		720.2	1288.2
Female	Non-COVID-19 deaths	2021	December	"Third dose or booster, at least 21 days ago"	11547	593053	714.0		699.1	728.9
Female	Non-COVID-19 deaths	2021	December	Ever vaccinated	19489	1482648	946.6		933.1	960
Female	Non-COVID-19 deaths	2022	January	Unvaccinated	770	226355	1135.2		1051.3	1219.1
Female	Non-COVID-19 deaths	2022	January	"First dose, less than 21 days ago"	7	9191	x		x	x
Female	Non-COVID-19 deaths	2022	January	"First dose, at least 21 days ago"	282	77139	2691.2		2359.8	3022.6
Female	Non-COVID-19 deaths	2022	January	"Second dose, less than 21 days ago"	16	15862	1745.4	u	928.7	2934.9
Female	Non-COVID-19 deaths	2022	January	"Second dose, between 21 days and 6 months ago"	215	135814	1939.4		1635.8	2243.0
Female	Non-COVID-19 deaths	2022	January	"Second dose, at least 6 months ago"	2835	122921	3669.3		3283.8	4054.7
Female	Non-COVID-19 deaths	2022	January	"Third dose or booster, less than 21 days ago"	455	122383	1307.3		1177.6	1437.0
Female	Non-COVID-19 deaths	2022	January	"Third dose or booster, at least 21 days ago"	13857	1011650	725.8		713.2	738.3
Female	Non-COVID-19 deaths	2022	January	Ever vaccinated	17667	1494960	857.6		844.9	870.4
Female	Non-COVID-19 deaths	2022	February	Unvaccinated	654	196441	1074.5		988.8	1160.3
Female	Non-COVID-19 deaths	2022	February	"First dose, less than 21 days ago"	5	4840	x		x	x
Female	Non-COVID-19 deaths	2022	February	"First dose, at least 21 days ago"	202	61984	2188.9		1868.1	2509.7
Female	Non-COVID-19 deaths	2022	February	"Second dose, less than 21 days ago"	7	12881	x		x	x
Female	Non-COVID-19 deaths	2022	February	"Second dose, between 21 days and 6 months ago"	118	99502	1583.0		1265.1	1900.9
Female	Non-COVID-19 deaths	2022	February	"Second dose, at least 6 months ago"	1667	121325	2534.1		2406.6	2661.7
Female	Non-COVID-19 deaths	2022	February	"Third dose or booster, less than 21 days ago"	97	17120	1616.5		1286.9	1999.9
Female	Non-COVID-19 deaths	2022	February	"Third dose or booster, at least 21 days ago"	13523	1039181	761.6		748.6	774.7
Female	Non-COVID-19 deaths	2022	February	Ever vaccinated	15619	1356833	837.1		823.8	850.3
Female	Non-COVID-19 deaths	2022	March	Unvaccinated	645	213620	978.9		900.2	1057.7
Female	Non-COVID-19 deaths	2022	March	"First dose, less than 21 days ago"	2	2368	x		x	x
Female	Non-COVID-19 deaths	2022	March	"First dose, at least 21 days ago"	190	63108	1679.4		1419.5	1939.4
Female	Non-COVID-19 deaths	2022	March	"Second dose, less than 21 days ago"	2	8246	x		x	x
Female	Non-COVID-19 deaths	2022	March	"Second dose, between 21 days and 6 months ago"	112	93351	1714.3		1365.1	2063.5
Female	Non-COVID-19 deaths	2022	March	"Second dose, at least 6 months ago"	1477	154419	2136.3		2022.0	2250.5
Female	Non-COVID-19 deaths	2022	March	"Third dose or booster, less than 21 days ago"	41	10020	1401.0		981.6	1930.6
Female	Non-COVID-19 deaths	2022	March	"Third dose or booster, at least 21 days ago"	14911	1173039	808.2		733.9	882.5
Female	Non-COVID-19 deaths	2022	March	Ever vaccinated	16735	1504551	810.7		798.3	823.1
Female	Non-COVID-19 deaths	2022	April	Unvaccinated	591	204224	926.9		849.3	1004.6
Female	Non-COVID-19 deaths	2022	April	"First dose, less than 21 days ago"	5	1594	x		x	x
Female	Non-COVID-19 deaths	2022	April	"First dose, at least 21 days ago"	173	55066	1813.8		1525.3	2102.4
Female	Non-COVID-19 deaths	2022	April	"Second dose, less than 21 days ago"	8	5926	x		x	x
Female	Non-COVID-19 deaths	2022	April	"Second dose, between 21 days and 6 months ago"	107	82535	1954.9		1541.1	2368.8
Female	Non-COVID-19 deaths	2022	April	"Second dose, at least 6 months ago"	1218	157096	1881.6		1770.2	1992.9
Female	Non-COVID-19 deaths	2022	April	"Third dose or booster, less than 21 days ago"	49	7432	1426.5		1000.8	1953.5
Female	Non-COVID-19 deaths	2022	April	"Third dose or booster, at least 21 days ago"	14798	1147317	770.5		757.9	783.1
Female	Non-COVID-19 deaths	2022	April	Ever vaccinated	16358	1456966	815.7		803.1	828.3
Female	Non-COVID-19 deaths	2022	May	Unvaccinated	512	209179	766.7		697.5	835.8
Female	Non-COVID-19 deaths	2022	May	"First dose, less than 21 days ago"	1	1142	x		x	x
Female	Non-COVID-19 deaths	2022	May	"First dose, at least 21 days ago"	161	52703	1623.1		1354.7	1891.5
Female	Non-COVID-19 deaths	2022	May	"Second dose, less than 21 days ago"	5	4240	x		x	x
Female	Non-COVID-19 deaths	2022	May	"Second dose, between 21 days and 6 months ago"	71	79753	1592.1		1196.5	2064.3
Female	Non-COVID-19 deaths	2022	May	"Second dose, at least 6 months ago"	889	165998	1405.1		1307.6	1502.6
Female	Non-COVID-19 deaths	2022	May	"Third dose or booster, less than 21 days ago"	57	6886	1782.9		1241.0	2443.3
Female	Non-COVID-19 deaths	2022	May	"Third dose or booster, at least 21 days ago"	13349	1195170	671.7		660.1	683.3
Female	Non-COVID-19 deaths	2022	May	Ever vaccinated	14533	1505891	702		690.5	713.6
Male	All causes	2021	January	Unvaccinated	26605	1494480	3049.9		3009.7	3090.1
Male	All causes	2021	January	"First dose, less than 21 days ago"	3338	80924	2690.7		-397.4	5778.7
Male	All causes	2021	January	"First dose, at least 21 days ago"	1201	12642	2458.5		1984.1	2932.9
Male	All causes	2021	January	"Second dose, less than 21 days ago"	247	9757	356.2		180.8	531.7
Male	All causes	2021	January	"Second dose, between 21 days and 6 months ago"	44	1699	193.6		138.9	262.2
Male	All causes	2021	January	"Second dose, at least 6 months ago"	0	0	x		x	x
Male	All causes	2021	January	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Male	All causes	2021	January	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Male	All causes	2021	January	Ever vaccinated	4830	105021	2424.1		-78	4926.3
Male	All causes	2021	February	Unvaccinated	10301	1091880	6495.6		6335.7	6655.5
Male	All causes	2021	February	"First dose, less than 21 days ago"	3592	198481	1243.7		1192.4	1295.0
Male	All causes	2021	February	"First dose, at least 21 days ago"	6656	139837	1358.0		1301.4	1414.7
Male	All causes	2021	February	"Second dose, less than 21 days ago"	19	1065	684.1	u	364.8	1134.7
Male	All causes	2021	February	"Second dose, between 21 days and 6 months ago"	512	13112	618.5		394.1	842.8
Male	All causes	2021	February	"Second dose, at least 6 months ago"	0	0	x		x	x
Male	All causes	2021	February	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Male	All causes	2021	February	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Male	All causes	2021	February	Ever vaccinated	10779	352495	1115.1		1085.1	1145.2
Male	All causes	2021	March	Unvaccinated	3931	912058	3802.2		3653.1	3951.2
Male	All causes	2021	March	"First dose, less than 21 days ago"	1006	212444	2379.4		2161.3	2597.5
Male	All causes	2021	March	"First dose, at least 21 days ago"	11141	432918	1218.7		1187.5	1249.8
Male	All causes	2021	March	"Second dose, less than 21 days ago"	596	23914	655.3		571.6	739.0
Male	All causes	2021	March	"Second dose, between 21 days and 6 months ago"	739	17944	848.5		666.1	1030.8
Male	All causes	2021	March	"Second dose, at least 6 months ago"	0	0	x		x	x
Male	All causes	2021	March	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Male	All causes	2021	March	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Male	All causes	2021	March	Ever vaccinated	13482	687220	1029.7		1009.1	1050.2
Male	All causes	2021	April	Unvaccinated	1956	700613	2538.1		2403.1	2673.2
Male	All causes	2021	April	"First dose, less than 21 days ago"	233	97976	2249.8		1815.1	2684.4
Male	All causes	2021	April	"First dose, at least 21 days ago"	8228	529501	2071.7		2018.2	2125.2
Male	All causes	2021	April	"Second dose, less than 21 days ago"	2527	147837	621.2		582.9	659.6
Male	All causes	2021	April	"Second dose, between 21 days and 6 months ago"	2772	71771	956.9		875.4	1038.4
Male	All causes	2021	April	"Second dose, at least 6 months ago"	0	0	x		x	x
Male	All causes	2021	April	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Male	All causes	2021	April	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Male	All causes	2021	April	Ever vaccinated	13760	847084	1012.8		994.3	1031.3
Male	All causes	2021	May	Unvaccinated	1439	622402	1881.3		1763.3	1999.3
Male	All causes	2021	May	"First dose, less than 21 days ago"	83	75951	1919.1		1331.7	2610.7
Male	All causes	2021	May	"First dose, at least 21 days ago"	4018	361221	6354.3		6109.9	6598.7
Male	All causes	2021	May	"Second dose, less than 21 days ago"	1764	218129	1042.6		979.7	1105.5
Male	All causes	2021	May	"Second dose, between 21 days and 6 months ago"	9170	320208	1204.4		793.6	1615.2
Male	All causes	2021	May	"Second dose, at least 6 months ago"	0	0	x		x	x
Male	All causes	2021	May	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Male	All causes	2021	May	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Male	All causes	2021	May	Ever vaccinated	15035	975510	1084		999.4	1168.6
Male	All causes	2021	June	Unvaccinated	1239	476445	1801.8		1681.8	1921.9
Male	All causes	2021	June	"First dose, less than 21 days ago"	47	87861	1314.8		784.0	1974.7
Male	All causes	2021	June	"First dose, at least 21 days ago"	1749	189762	7622.8		7200.3	8045.2
Male	All causes	2021	June	"Second dose, less than 21 days ago"	505	174984	1803.2		1571.8	2034.7
Male	All causes	2021	June	"Second dose, between 21 days and 6 months ago"	12092	615993	967.9		946.7	989.1
Male	All causes	2021	June	"Second dose, at least 6 months ago"	0	9	x		x	x
Male	All causes	2021	June	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Male	All causes	2021	June	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Male	All causes	2021	June	Ever vaccinated	14393	1068610	1008.4		991.4	1025.4
Male	All causes	2021	July	Unvaccinated	1212	392605	1807.1		1686.3	1927.9
Male	All causes	2021	July	"First dose, less than 21 days ago"	38	58068	1342.2		597.4	2291.4
Male	All causes	2021	July	"First dose, at least 21 days ago"	1085	191175	7230.9		6742.3	7719.5
Male	All causes	2021	July	"Second dose, less than 21 days ago"	145	85713	1844.8		1434.9	2254.7
Male	All causes	2021	July	"Second dose, between 21 days and 6 months ago"	14366	856864	1086.2		1066.6	1105.9
Male	All causes	2021	July	"Second dose, at least 6 months ago"	640	10733	796.8		546.8	1046.8
Male	All causes	2021	July	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Male	All causes	2021	July	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Male	All causes	2021	July	Ever vaccinated	16274	1202553	1096.1		1078.9	1113.2
Male	All causes	2021	August	Unvaccinated	1174	362776	1883.5		1757.8	2009.3
Male	All causes	2021	August	"First dose, less than 21 days ago"	18	18286	2480.9	u	1217.6	4280.9
Male	All causes	2021	August	"First dose, at least 21 days ago"	758	139627	6090.3		5598.1	6582.5
Male	All causes	2021	August	"Second dose, less than 21 days ago"	68	81956	1902.6		1316.4	2604.8
Male	All causes	2021	August	"Second dose, between 21 days and 6 months ago"	14571	975552	1084.5		1066.0	1103.0
Male	All causes	2021	August	"Second dose, at least 6 months ago"	903	15474	886.8		698.2	1075.4
Male	All causes	2021	August	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Male	All causes	2021	August	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Male	All causes	2021	August	Ever vaccinated	16318	1230895	1093.8		1076.8	1110.8
Male	All causes	2021	September	Unvaccinated	1095	327133	1857.7		1731.0	1984.3
Male	All causes	2021	September	"First dose, less than 21 days ago"	11	14771	993.9	u	122.8	2366.7
Male	All causes	2021	September	"First dose, at least 21 days ago"	569	76042	5588.3		5073.9	6102.7
Male	All causes	2021	September	"Second dose, less than 21 days ago"	23	52156	939.4		419.4	1650.1
Male	All causes	2021	September	"Second dose, between 21 days and 6 months ago"	13671	1027112	1191.1		1123.7	1258.4
Male	All causes	2021	September	"Second dose, at least 6 months ago"	2404	39562	1418.2		1306.0	1530.3
Male	All causes	2021	September	"Third dose or booster, less than 21 days ago"	39	4025	289.5		166.9	445.4
Male	All causes	2021	September	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Male	All causes	2021	September	Ever vaccinated	16717	1213667	1158.8		1137.5	1180
Male	All causes	2021	October	Unvaccinated	1082	314763	1809.9		1685.6	1934.1
Male	All causes	2021	October	"First dose, less than 21 days ago"	8	17587	x		x	x
Male	All causes	2021	October	"First dose, at least 21 days ago"	553	70429	5890.1		5341.9	6438.2
Male	All causes	2021	October	"Second dose, less than 21 days ago"	17	15926	1536.4	u	783.6	2620.5
Male	All causes	2021	October	"Second dose, between 21 days and 6 months ago"	7054	931195	1459.0		1391.0	1527.0
Male	All causes	2021	October	"Second dose, at least 6 months ago"	8623	125869	2250.1		2181.0	2319.3
Male	All causes	2021	October	"Third dose or booster, less than 21 days ago"	1672	93883	504.7		457.2	552.3
Male	All causes	2021	October	"Third dose or booster, at least 21 days ago"	547	20948	699.9		577.3	822.5
Male	All causes	2021	October	Ever vaccinated	18474	1275836	1231.1		1213.1	1249.2
Male	All causes	2021	November	Unvaccinated	1113	276891	1934.0		1802.9	2065.0
Male	All causes	2021	November	"First dose, less than 21 days ago"	13	18329	4039.7	u	1983.6	7162.0
Male	All causes	2021	November	"First dose, at least 21 days ago"	389	80533	4744.6		4220.0	5269.3
Male	All causes	2021	November	"Second dose, less than 21 days ago"	27	9032	3623.0		2305.0	5381.5
Male	All causes	2021	November	"Second dose, between 21 days and 6 months ago"	1838	619316	2185.8		2029.8	2341.9
Male	All causes	2021	November	"Second dose, at least 6 months ago"	8699	185320	3554.5		3476.0	3633.1
Male	All causes	2021	November	"Third dose or booster, less than 21 days ago"	2076	175760	687.0		646.3	727.6
Male	All causes	2021	November	"Third dose or booster, at least 21 days ago"	5054	172504	876.5		828.2	924.8
Male	All causes	2021	November	Ever vaccinated	18096	1260794	1243.8		1225.4	1262.2
Male	All causes	2021	December	Unvaccinated	1174	269211	2088.6		1952.0	2225.2
Male	All causes	2021	December	"First dose, less than 21 days ago"	9	10604	x		x	x
Male	All causes	2021	December	"First dose, at least 21 days ago"	390	88528	5219.7		4644.3	5795.1
