"Monthly age-standardised mortality rates by vaccination status for all cause deaths, deaths involving COVID-19 and deaths not involving COVID-19, per 100,000 person-years, England, deaths occurring between 1 January 2021 and 31 May 2022"									
This worksheet contains 1 table.									
"Source: Source: Office for National Statistics, National Immunisation Management Service."									
Cause of Death	Year	Month	Vaccination status	Count of deaths	Person-years	"Age-standardised mortality rate / 100,000 person-years"	Noted as Unreliable	Lower confidence limit	Upper confidence limit
Deaths involving COVID-19	2022	May	"Second dose, at least 6 months ago"	103	328732	106.3		84.9	127.7
Deaths involving COVID-19	2022	May	"Third dose or booster, less than 21 days ago"	0	13292	x		x	x
Deaths involving COVID-19	2022	May	"Third dose or booster, at least 21 days ago"	1155	2225731	33.1		31.2	35.0
Deaths involving COVID-19	2022	May	Ever vaccinated	1282	2846174	35.5		33.5	37.4
Non-COVID-19 deaths	2021	January	Unvaccinated	28095	3050246	1320.4		1304.3	1336.6
Non-COVID-19 deaths	2021	January	"First dose, less than 21 days ago"	5191	221773	592.8		565.8	619.8
Non-COVID-19 deaths	2021	January	"First dose, at least 21 days ago"	1340	35929	977.6		856.0	1099.3
Non-COVID-19 deaths	2021	January	"Second dose, less than 21 days ago"	368	23304	243.7		162.0	325.3
Non-COVID-19 deaths	2021	January	"Second dose, between 21 days and 6 months ago"	71	4050	142.9		111.0	181.0
Non-COVID-19 deaths	2021	January	"Second dose, at least 6 months ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	January	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	January	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	January	Ever vaccinated	6970	285056	579.8		555.6	604.1
Non-COVID-19 deaths	2021	February	Unvaccinated	12140	2152780	3087.1		3019.6	3154.6
Non-COVID-19 deaths	2021	February	"First dose, less than 21 days ago"	5897	451058	802.6		777.8	827.5
Non-COVID-19 deaths	2021	February	"First dose, at least 21 days ago"	10933	373179	811.0		787.6	834.3
Non-COVID-19 deaths	2021	February	"Second dose, less than 21 days ago"	39	3334	644.6		422.0	927.5
Non-COVID-19 deaths	2021	February	"Second dose, between 21 days and 6 months ago"	838	31409	430.3		312.6	548.0
Non-COVID-19 deaths	2021	February	"Second dose, at least 6 months ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	February	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	February	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	February	Ever vaccinated	17707	858980	721.9		707.9	735.9
Non-COVID-19 deaths	2021	March	Unvaccinated	6311	1760561	2715.9		2636.0	2795.8
Non-COVID-19 deaths	2021	March	"First dose, less than 21 days ago"	1737	440892	1878.9		1658.9	2099.0
Non-COVID-19 deaths	2021	March	"First dose, at least 21 days ago"	21499	1018489	935.5		920.1	950.9
Non-COVID-19 deaths	2021	March	"Second dose, less than 21 days ago"	1307	69498	517.2		474.3	560.1
Non-COVID-19 deaths	2021	March	"Second dose, between 21 days and 6 months ago"	1304	45212	577.1		485.6	668.7
Non-COVID-19 deaths	2021	March	"Second dose, at least 6 months ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	March	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	March	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	March	Ever vaccinated	25847	1574091	848		777.5	918.4
Non-COVID-19 deaths	2021	April	Unvaccinated	3612	1342265	2152.6		2073.1	2232.2
Non-COVID-19 deaths	2021	April	"First dose, less than 21 days ago"	416	192744	1948.5		1692.5	2204.4
Non-COVID-19 deaths	2021	April	"First dose, at least 21 days ago"	15950	1129337	1672.7		1643.5	1701.8
Non-COVID-19 deaths	2021	April	"Second dose, less than 21 days ago"	5351	365753	494.1		476.4	511.9
Non-COVID-19 deaths	2021	April	"Second dose, between 21 days and 6 months ago"	5765	196885	740.4		706.2	774.6
Non-COVID-19 deaths	2021	April	"Second dose, at least 6 months ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	April	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	April	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	April	Ever vaccinated	27482	1884719	852.6		841.8	863.4
Non-COVID-19 deaths	2021	May	Unvaccinated	2733	1192047	1673.4		1602.2	1744.6
Non-COVID-19 deaths	2021	May	"First dose, less than 21 days ago"	139	145992	1675.3		1301.6	2049.0
Non-COVID-19 deaths	2021	May	"First dose, at least 21 days ago"	7759	731409	5091.9		4955.8	5228.0
Non-COVID-19 deaths	2021	May	"Second dose, less than 21 days ago"	3195	469323	795.0		762.2	827.9
Non-COVID-19 deaths	2021	May	"Second dose, between 21 days and 6 months ago"	18782	793018	863.7		713.8	1013.6
Non-COVID-19 deaths	2021	May	"Second dose, at least 6 months ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	May	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	May	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	May	Ever vaccinated	29875	2139742	895.4		855.4	935.4
Non-COVID-19 deaths	2021	June	Unvaccinated	2242	912365	1534.1		1463.2	1604.9
Non-COVID-19 deaths	2021	June	"First dose, less than 21 days ago"	85	167751	1274.9		897.9	1717.9
Non-COVID-19 deaths	2021	June	"First dose, at least 21 days ago"	3451	371872	6362.9		6118.5	6607.4
Non-COVID-19 deaths	2021	June	"Second dose, less than 21 days ago"	901	350959	1475.0		1343.7	1606.3
Non-COVID-19 deaths	2021	June	"Second dose, between 21 days and 6 months ago"	24262	1418715	802.8		791.3	814.3
Non-COVID-19 deaths	2021	June	"Second dose, at least 6 months ago"	0	24	x		x	x
Non-COVID-19 deaths	2021	June	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	June	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	June	Ever vaccinated	28699	2309320	872.2		840.3	904
Non-COVID-19 deaths	2021	July	Unvaccinated	2010	756390	1392.4		1325.2	1459.7
Non-COVID-19 deaths	2021	July	"First dose, less than 21 days ago"	48	107953	811.0		451.1	1257.4
Non-COVID-19 deaths	2021	July	"First dose, at least 21 days ago"	2141	367172	5958.2		5677.7	6238.7
Non-COVID-19 deaths	2021	July	"Second dose, less than 21 days ago"	284	167400	1755.6		1496.5	2014.6
Non-COVID-19 deaths	2021	July	"Second dose, between 21 days and 6 months ago"	28498	1901584	902.6		891.4	913.8
Non-COVID-19 deaths	2021	July	"Second dose, at least 6 months ago"	1087	25778	532.1		414.8	649.4
Non-COVID-19 deaths	2021	July	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	July	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	July	Ever vaccinated	32058	2569887	920.4		910.3	930.6
Non-COVID-19 deaths	2021	August	Unvaccinated	1764	698750	1307.3		1240.7	1374.0
Non-COVID-19 deaths	2021	August	"First dose, less than 21 days ago"	30	36133	1673.4		997.7	2561.6
Non-COVID-19 deaths	2021	August	"First dose, at least 21 days ago"	1387	262864	4599.7		4332.2	4867.3
Non-COVID-19 deaths	2021	August	"Second dose, less than 21 days ago"	111	157735	1417.9		1067.7	1768.2
Non-COVID-19 deaths	2021	August	"Second dose, between 21 days and 6 months ago"	28068	2129533	904.0		862.5	945.5
Non-COVID-19 deaths	2021	August	"Second dose, at least 6 months ago"	1516	38263	670.6		567.4	773.8
Non-COVID-19 deaths	2021	August	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	August	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	August	Ever vaccinated	31112	2624527	895.3		878.6	911.9
Non-COVID-19 deaths	2021	September	Unvaccinated	1676	627309	1296.7		1229.2	1364.3
Non-COVID-19 deaths	2021	September	"First dose, less than 21 days ago"	13	30311	601.5	u	168.9	1258.5
Non-COVID-19 deaths	2021	September	"First dose, at least 21 days ago"	1087	146006	4369.0		4086.1	4651.8
Non-COVID-19 deaths	2021	September	"Second dose, less than 21 days ago"	38	97565	737.7		434.9	1123.7
Non-COVID-19 deaths	2021	September	"Second dose, between 21 days and 6 months ago"	25579	2191849	943.1		910.2	976.1
Non-COVID-19 deaths	2021	September	"Second dose, at least 6 months ago"	4548	110001	1008.8		945.7	1071.8
Non-COVID-19 deaths	2021	September	"Third dose or booster, less than 21 days ago"	76	10104	222.9		156.9	301.2
Non-COVID-19 deaths	2021	September	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	September	Ever vaccinated	31341	2585836	924.6		913.4	935.8
Non-COVID-19 deaths	2021	October	Unvaccinated	1724	601252	1301.5		1234.6	1368.3
Non-COVID-19 deaths	2021	October	"First dose, less than 21 days ago"	19	35315	2053.0	u	1198.2	3259.5
Non-COVID-19 deaths	2021	October	"First dose, at least 21 days ago"	1014	138201	4316.0		4026.6	4605.4
Non-COVID-19 deaths	2021	October	"Second dose, less than 21 days ago"	43	31047	1834.0		1282.5	2526.5
Non-COVID-19 deaths	2021	October	"Second dose, between 21 days and 6 months ago"	12529	1897963	1135.7		1100.7	1170.8
Non-COVID-19 deaths	2021	October	"Second dose, at least 6 months ago"	16363	326450	1624.6		1591.1	1658.1
Non-COVID-19 deaths	2021	October	"Third dose or booster, less than 21 days ago"	3489	233820	392.0		372.0	412.0
Non-COVID-19 deaths	2021	October	"Third dose or booster, at least 21 days ago"	1068	53085	488.9		440.0	537.8
Non-COVID-19 deaths	2021	October	Ever vaccinated	34525	2715879	979.7		969.3	990.1
Non-COVID-19 deaths	2021	November	Unvaccinated	1591	526375	1286.7		1218.4	1355.1
Non-COVID-19 deaths	2021	November	"First dose, less than 21 days ago"	26	36762	2864.7		1782.3	4316.7
Non-COVID-19 deaths	2021	November	"First dose, at least 21 days ago"	747	157492	3605.0		3324.6	3885.4
Non-COVID-19 deaths	2021	November	"Second dose, less than 21 days ago"	42	18956	2107.8		1472.1	2908.3
Non-COVID-19 deaths	2021	November	"Second dose, between 21 days and 6 months ago"	3111	1218875	1768.6		1677.2	1859.9
Non-COVID-19 deaths	2021	November	"Second dose, at least 6 months ago"	15835	432496	2546.7		2505.6	2587.8
Non-COVID-19 deaths	2021	November	"Third dose or booster, less than 21 days ago"	4270	392257	570.1		549.5	590.8
Non-COVID-19 deaths	2021	November	"Third dose or booster, at least 21 days ago"	10307	423687	690.7		671.1	710.4
Non-COVID-19 deaths	2021	November	Ever vaccinated	34338	2680524	1004.2		993.6	1014.9
Non-COVID-19 deaths	2021	December	Unvaccinated	1693	509674	1358.0		1288.3	1427.8
Non-COVID-19 deaths	2021	December	"First dose, less than 21 days ago"	17	21502	1661.8	u	898.2	2761.2
Non-COVID-19 deaths	2021	December	"First dose, at least 21 days ago"	701	173304	3678.3		3384.3	3972.3
Non-COVID-19 deaths	2021	December	"Second dose, less than 21 days ago"	41	29768	1702.2		1162.4	2383.9
Non-COVID-19 deaths	2021	December	"Second dose, between 21 days and 6 months ago"	1032	616543	2209.4		2035.0	2383.8
Non-COVID-19 deaths	2021	December	"Second dose, at least 6 months ago"	10609	339227	4354.1		4267.1	4441.1
Non-COVID-19 deaths	2021	December	"Third dose or booster, less than 21 days ago"	3138	571454	1068.5		922.0	1214.9
Non-COVID-19 deaths	2021	December	"Third dose or booster, at least 21 days ago"	22346	1048887	827.0		811.8	842.2
Non-COVID-19 deaths	2021	December	Ever vaccinated	37884	2800686	1070.5		1059.6	1081.3
Non-COVID-19 deaths	2022	January	Unvaccinated	1473	482035	1227.4		1160.4	1294.5
Non-COVID-19 deaths	2022	January	"First dose, less than 21 days ago"	19	17862	2674.8	u	1558.8	4249.8
Non-COVID-19 deaths	2022	January	"First dose, at least 21 days ago"	552	157152	3130.8		2850.7	3410.9
Non-COVID-19 deaths	2022	January	"Second dose, less than 21 days ago"	31	31915	1887.1		1218.6	2761.7
Non-COVID-19 deaths	2022	January	"Second dose, between 21 days and 6 months ago"	435	286474	2226.5		1973.6	2479.4
Non-COVID-19 deaths	2022	January	"Second dose, at least 6 months ago"	5302	222173	4039.1		3821.3	4256.8
Non-COVID-19 deaths	2022	January	"Third dose or booster, less than 21 days ago"	956	242240	1626.6		1514.7	1738.5
Non-COVID-19 deaths	2022	January	"Third dose or booster, at least 21 days ago"	27248	1866974	831.6		821.5	841.7
Non-COVID-19 deaths	2022	January	Ever vaccinated	34543	2824790	974.6		964.3	984.9
Non-COVID-19 deaths	2022	February	Unvaccinated	1229	420084	1125.8		1058.6	1193.1
Non-COVID-19 deaths	2022	February	"First dose, less than 21 days ago"	9	9294	x		x	x
Non-COVID-19 deaths	2022	February	"First dose, at least 21 days ago"	371	125985	2363.0		2102.6	2623.4
Non-COVID-19 deaths	2022	February	"Second dose, less than 21 days ago"	11	25646	1587.8	u	780.5	2860.2
Non-COVID-19 deaths	2022	February	"Second dose, between 21 days and 6 months ago"	251	208036	1874.7		1602.7	2146.7
Non-COVID-19 deaths	2022	February	"Second dose, at least 6 months ago"	3116	228825	2848.0		2742.9	2953.1
Non-COVID-19 deaths	2022	February	"Third dose or booster, less than 21 days ago"	174	32512	1811.7		1528.2	2095.2
Non-COVID-19 deaths	2022	February	"Third dose or booster, at least 21 days ago"	26234	1933554	860.4		849.9	871.0
Non-COVID-19 deaths	2022	February	Ever vaccinated	30166	2563852	940.1		929.4	950.7
Non-COVID-19 deaths	2022	March	Unvaccinated	1235	457356	1048.3		986.0	1110.5
Non-COVID-19 deaths	2022	March	"First dose, less than 21 days ago"	6	4749	x		x	x
Non-COVID-19 deaths	2022	March	"First dose, at least 21 days ago"	369	128230	2118.8		1882.2	2355.3
Non-COVID-19 deaths	2022	March	"Second dose, less than 21 days ago"	3	16323	x		x	x
Non-COVID-19 deaths	2022	March	"Second dose, between 21 days and 6 months ago"	234	189310	2087.6		1786.7	2388.4
Non-COVID-19 deaths	2022	March	"Second dose, at least 6 months ago"	2795	302091	2419.8		2325.1	2514.4
Non-COVID-19 deaths	2022	March	"Third dose or booster, less than 21 days ago"	92	19143	1905.7		1523.1	2352.7
Non-COVID-19 deaths	2022	March	"Third dose or booster, at least 21 days ago"	29191	2183457	912.2		858.3	966.2
Non-COVID-19 deaths	2022	March	Ever vaccinated	32690	2843304	918.5		908.5	928.5
Non-COVID-19 deaths	2022	April	Unvaccinated	1143	437563	999.9		938.2	1061.6
Non-COVID-19 deaths	2022	April	"First dose, less than 21 days ago"	9	3205	x		x	x
Non-COVID-19 deaths	2022	April	"First dose, at least 21 days ago"	346	112311	2199.2		1948.3	2450.1
Non-COVID-19 deaths	2022	April	"Second dose, less than 21 days ago"	12	11738	2786.2	u	1358.8	4991.8
Non-COVID-19 deaths	2022	April	"Second dose, between 21 days and 6 months ago"	189	165006	2165.6		1819.9	2511.3
Non-COVID-19 deaths	2022	April	"Second dose, at least 6 months ago"	2272	310924	2112.6		2020.2	2205.1
Non-COVID-19 deaths	2022	April	"Third dose or booster, less than 21 days ago"	83	14282	1483.7		1158.1	1867.1
Non-COVID-19 deaths	2022	April	"Third dose or booster, at least 21 days ago"	28609	2136115	874.9		851.4	898.4
Non-COVID-19 deaths	2022	April	Ever vaccinated	31520	2753581	912.2		902.1	922.4
Non-COVID-19 deaths	2022	May	Unvaccinated	935	448434	795.3		741.3	849.3
Non-COVID-19 deaths	2022	May	"First dose, less than 21 days ago"	1	2291	x		x	x
Non-COVID-19 deaths	2022	May	"First dose, at least 21 days ago"	283	107764	1751.0		1529.2	1972.8
Non-COVID-19 deaths	2022	May	"Second dose, less than 21 days ago"	9	8424	x		x	x
Non-COVID-19 deaths	2022	May	"Second dose, between 21 days and 6 months ago"	127	159940	1745.8		1401.2	2090.4
Non-COVID-19 deaths	2022	May	"Second dose, at least 6 months ago"	1683	328732	1597.4		1515.8	1678.9
Non-COVID-19 deaths	2022	May	"Third dose or booster, less than 21 days ago"	96	13292	2056.0		1596.5	2591.0
Non-COVID-19 deaths	2022	May	"Third dose or booster, at least 21 days ago"	25987	2225731	763.9		745.8	782.0
Non-COVID-19 deaths	2022	May	Ever vaccinated	28186	2846174	787.1		777.9	796.3
